car, 0.0972727272727, 44
film, 0.0495081967213, 98
press, 0.00914634146341, 209
sir, 0.172445820433, 22
logo, 7.53571428571, 1
road, 0.049358974359, 100
cup, 0.05, 95
paper, 0.0711538461538, 61
girl, 0.0361878453039, 124
joke, 0.111363636364, 40
lunch, 0.298484848485, 12
well, 0.0116813602015, 197
season, 0.0903614457831, 48
thing, 0.00962343096234, 207
degree, 0.258, 13
luck, 0.0318407960199, 135
madam, 1.55, 4
cool, 0.0179347826087, 174
university, 0.115, 39
mood, 0.24696969697, 15
way, 0.0034588441331, 222
son, 0.0946428571429, 46
train, 0.0177385892116, 176
court, 0.0872093023256, 51
miss, 0.0593959731544, 74
love, 0.10877034358, 42
movie, 0.0235217903416, 156
waste, 0.0918699186992, 47
blue, 0.0219827586207, 164
airport, 0.0326086956522, 132
bat, 0.0548417132216, 81
face, 0.0313504823151, 137
light, 0.156481481481, 25
man, 0.0230839416058, 159
fan, 0.0568181818182, 78
guy, 0.023487544484, 157
week, 0.0239795918367, 153
photo, 0.2, 19
sun, 0.51875, 10
test, 0.0664596273292, 65
star, 0.0542735042735, 82
king, 0.08, 54
month, 0.019018404908, 169
rest, 0.00408653846154, 219
air, 0.04, 119
bank, 0.207575757576, 17
bollywood, 0.0452380952381, 110
boy, 0.0175496688742, 177
budget, 0.0152096342551, 183
bus, 0.756, 7
card, 0.0340425531915, 127
channel, 0.129098360656, 30
check, 0.0483122362869, 104
college, 0.13125, 29
company, 0.0131578947368, 190
cricket, 0.0596681922197, 73
crore, 0.0494736842105, 99
form, 0.0410220994475, 117
internet, 0.0589285714286, 76
match, 0.121929824561, 34
media, 0.0626237623762, 70
mobile, 0.0704545454545, 62
party, 0.104523424879, 43
performance, 0.013717693837, 188
petrol, 3.525, 2
phone, 0.216883116883, 16
play, 0.0145975443383, 185
playlist, 0.0, 230
police, 0.154347826087, 27
poster, 0.0246987951807, 151
rail, 0.00472222222222, 216
railway, 0.0185606060606, 172
report, 0.0627192982456, 69
school, 0.125294117647, 32
score, 0.0260204081633, 149
seat, 0.252671755725, 14
